State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Karnataka,BAGALKOT,2001,Kharif     ,Rice,171,411
Karnataka,BAGALKOT,2001,Kharif     ,Soyabean,410,303
Karnataka,BAGALKOT,2001,Rabi       ,Jowar,170489,125015
Karnataka,BAGALKOT,2001,Rabi       ,Wheat,25855,34969
Karnataka,BAGALKOT,2001,Summer     ,Rice,13,19
Karnataka,BAGALKOT,2001,Whole Year ,Coconut ,1142,5456
Karnataka,BAGALKOT,2001,Whole Year ,Coriander,30,3
Karnataka,BAGALKOT,2001,Whole Year ,Dry chillies,704,608
Karnataka,BAGALKOT,2001,Whole Year ,Onion,6247,64311
Karnataka,BAGALKOT,2001,Whole Year ,Sugarcane,60450,5570468
Karnataka,BAGALKOT,2001,Whole Year ,Turmeric,311,1553
Karnataka,BAGALKOT,2002,Kharif     ,Bajra,24007,7171
Karnataka,BAGALKOT,2002,Kharif     ,Groundnut,5720,1920
Karnataka,BAGALKOT,2002,Kharif     ,Jowar,5551,9005
Karnataka,BAGALKOT,2002,Kharif     ,Rice,112,230
Karnataka,BAGALKOT,2002,Kharif     ,Soyabean,1349,728
Karnataka,BAGALKOT,2002,Rabi       ,Groundnut,10177,12994
Karnataka,BAGALKOT,2002,Rabi       ,Jowar,157259,98880
Karnataka,BAGALKOT,2002,Rabi       ,Wheat,23327,32386
Karnataka,BAGALKOT,2002,Summer     ,Jowar,2,2
Karnataka,BAGALKOT,2002,Summer     ,Rice,15,16
Karnataka,BAGALKOT,2002,Whole Year ,Banana,466,7118
Karnataka,BAGALKOT,2002,Whole Year ,Citrus Fruit,350,3155
Karnataka,BAGALKOT,2002,Whole Year ,Coconut ,877,4190
Karnataka,BAGALKOT,2002,Whole Year ,Coriander,30,3
Karnataka,BAGALKOT,2002,Whole Year ,Dry chillies,543,292
Karnataka,BAGALKOT,2002,Whole Year ,Garlic,18,15
Karnataka,BAGALKOT,2002,Whole Year ,Grapes,608,16383
Karnataka,BAGALKOT,2002,Whole Year ,Mango,287,920
Karnataka,BAGALKOT,2002,Whole Year ,Onion,3329,30605
Karnataka,BAGALKOT,2002,Whole Year ,Sugarcane,58694,5241374
Karnataka,BAGALKOT,2002,Whole Year ,Tomato,114,639
Karnataka,BAGALKOT,2002,Whole Year ,Turmeric,356,1991
Karnataka,BAGALKOT,2003,Kharif     ,Bajra,15454,8153
Karnataka,BAGALKOT,2003,Kharif     ,Groundnut,2649,1644
Karnataka,BAGALKOT,2003,Kharif     ,Jowar,4339,9345
Karnataka,BAGALKOT,2003,Kharif     ,Rice,93,210
Karnataka,BAGALKOT,2003,Kharif     ,Soyabean,272,119
Karnataka,BAGALKOT,2003,Rabi       ,Groundnut,14870,22871
Karnataka,BAGALKOT,2003,Rabi       ,Jowar,134368,10766
Karnataka,BAGALKOT,2003,Rabi       ,Wheat,15300,18327
Karnataka,BAGALKOT,2003,Summer     ,Jowar,37,98
Karnataka,BAGALKOT,2003,Summer     ,Rice,2,7
Karnataka,BAGALKOT,2003,Whole Year ,Banana,434,7423
Karnataka,BAGALKOT,2003,Whole Year ,Citrus Fruit,374,1368
Karnataka,BAGALKOT,2003,Whole Year ,Coconut ,600,2867
Karnataka,BAGALKOT,2003,Whole Year ,Coriander,26,2
Karnataka,BAGALKOT,2003,Whole Year ,Dry chillies,476,798
Karnataka,BAGALKOT,2003,Whole Year ,Garlic,150,124
Karnataka,BAGALKOT,2003,Whole Year ,Grapes,1829,78515
Karnataka,BAGALKOT,2003,Whole Year ,Mango,601,2073
Karnataka,BAGALKOT,2003,Whole Year ,Onion,4269,27894
Karnataka,BAGALKOT,2003,Whole Year ,Sugarcane,38744,2834124
Karnataka,BAGALKOT,2003,Whole Year ,Tomato,321,853
Karnataka,BAGALKOT,2004,Kharif     ,Bajra,50947,32970
Karnataka,BAGALKOT,2004,Kharif     ,Groundnut,6413,3776
Karnataka,BAGALKOT,2004,Kharif     ,Jowar,11225,20951
Karnataka,BAGALKOT,2004,Kharif     ,Rice,64,178.75
Karnataka,BAGALKOT,2004,Kharif     ,Soyabean,9183,5156
Karnataka,BAGALKOT,2004,Rabi       ,Groundnut,18828,25292
Karnataka,BAGALKOT,2004,Rabi       ,Jowar,144349,100053
Karnataka,BAGALKOT,2004,Rabi       ,Wheat,21202,32903
Karnataka,BAGALKOT,2004,Whole Year ,Banana,191,7032
Karnataka,BAGALKOT,2004,Whole Year ,Coconut ,452,21813.52
Karnataka,BAGALKOT,2004,Whole Year ,Coriander,31,3
Karnataka,BAGALKOT,2004,Whole Year ,Dry chillies,601,459
Karnataka,BAGALKOT,2004,Whole Year ,Garlic,150,124
Karnataka,BAGALKOT,2004,Whole Year ,Onion,6986,65436
Karnataka,BAGALKOT,2004,Whole Year ,Turmeric,374,2277
Karnataka,BAGALKOT,2005,Kharif     ,Bajra,44354,54674
Karnataka,BAGALKOT,2005,Kharif     ,Dry chillies,318,231
Karnataka,BAGALKOT,2005,Kharif     ,Groundnut,7134,5000
Karnataka,BAGALKOT,2005,Kharif     ,Jowar,10339,27092
Karnataka,BAGALKOT,2005,Kharif     ,Onion,6732,39517
Karnataka,BAGALKOT,2005,Kharif     ,Rice,126,355
Karnataka,BAGALKOT,2005,Kharif     ,Soyabean,6534,4947
Karnataka,BAGALKOT,2005,Rabi       ,Dry chillies,118,192
Karnataka,BAGALKOT,2005,Rabi       ,Groundnut,19037,18157
Karnataka,BAGALKOT,2005,Rabi       ,Jowar,127199,138382
Karnataka,BAGALKOT,2005,Rabi       ,Onion,1478,15322
Karnataka,BAGALKOT,2005,Rabi       ,Wheat,21840,34948
Karnataka,BAGALKOT,2005,Summer     ,Dry chillies,71,42
Karnataka,BAGALKOT,2005,Summer     ,Jowar,3,6
Karnataka,BAGALKOT,2005,Summer     ,Onion,675,9735
Karnataka,BAGALKOT,2005,Summer     ,Rice,63,196
Karnataka,BAGALKOT,2005,Whole Year ,Banana,84,2477
Karnataka,BAGALKOT,2005,Whole Year ,Coconut ,413,1973
Karnataka,BAGALKOT,2005,Whole Year ,Coriander,34,3
Karnataka,BAGALKOT,2005,Whole Year ,Garlic,60,50
Karnataka,BAGALKOT,2005,Whole Year ,Sugarcane,37783,3445810
Karnataka,BAGALKOT,2005,Whole Year ,Turmeric,368,4453
Karnataka,BAGALKOT,2006,Kharif     ,Bajra,39194,13233
Karnataka,BAGALKOT,2006,Kharif     ,Groundnut,7294,2911
Karnataka,BAGALKOT,2006,Kharif     ,Jowar,9087,8155
Karnataka,BAGALKOT,2006,Kharif     ,Rice,117,339
Karnataka,BAGALKOT,2006,Kharif     ,Soyabean,3367,3215
Karnataka,BAGALKOT,2006,Rabi       ,Groundnut,15146,12000
Karnataka,BAGALKOT,2006,Rabi       ,Jowar,119913,60772
Karnataka,BAGALKOT,2006,Rabi       ,Wheat,20992,27344
Karnataka,BAGALKOT,2006,Whole Year ,Banana,572,11420
Karnataka,BAGALKOT,2006,Whole Year ,Coconut ,236,1128
Karnataka,BAGALKOT,2006,Whole Year ,Coriander,39,4
Karnataka,BAGALKOT,2006,Whole Year ,Dry chillies,511,872
Karnataka,BAGALKOT,2006,Whole Year ,Garlic,55,46
Karnataka,BAGALKOT,2006,Whole Year ,Onion,8284,59102
Karnataka,BAGALKOT,2006,Whole Year ,Sugarcane,48913,4274996
Karnataka,BAGALKOT,2006,Whole Year ,Turmeric,591,4045
Karnataka,BAGALKOT,2007,Kharif     ,Bajra,51037,58785
Karnataka,BAGALKOT,2007,Kharif     ,Dry chillies,699,630
Karnataka,BAGALKOT,2007,Kharif     ,Groundnut,5007,3866
Karnataka,BAGALKOT,2007,Kharif     ,Jowar,9537,15692
Karnataka,BAGALKOT,2007,Kharif     ,Onion,12075,81411
Karnataka,BAGALKOT,2007,Kharif     ,Rice,68,206
Karnataka,BAGALKOT,2007,Kharif     ,Soyabean,2575,3474
Karnataka,BAGALKOT,2007,Rabi       ,Dry chillies,221,386
Karnataka,BAGALKOT,2007,Rabi       ,Groundnut,17294,14425
Karnataka,BAGALKOT,2007,Rabi       ,Jowar,123497,178029
Karnataka,BAGALKOT,2007,Rabi       ,Onion,971,10215
Karnataka,BAGALKOT,2007,Rabi       ,Wheat,23208,38300
Karnataka,BAGALKOT,2007,Summer     ,Dry chillies,109,369
Karnataka,BAGALKOT,2007,Summer     ,Onion,605,6030
Karnataka,BAGALKOT,2007,Whole Year ,Banana,862,13986
Karnataka,BAGALKOT,2007,Whole Year ,Coconut ,264,1344
Karnataka,BAGALKOT,2007,Whole Year ,Coriander,40,14
Karnataka,BAGALKOT,2007,Whole Year ,Garlic,23,64
Karnataka,BAGALKOT,2007,Whole Year ,Sugarcane,57399,5071202
Karnataka,BAGALKOT,2007,Whole Year ,Turmeric,1203,15696
Karnataka,BAGALKOT,2008,Kharif     ,Bajra,22009,24287
Karnataka,BAGALKOT,2008,Kharif     ,Dry chillies,764,709
Karnataka,BAGALKOT,2008,Kharif     ,Groundnut,2182,1366
Karnataka,BAGALKOT,2008,Kharif     ,Jowar,5239,9125
Karnataka,BAGALKOT,2008,Kharif     ,Onion,6945,54530
Karnataka,BAGALKOT,2008,Kharif     ,Rice,87,266.13
Karnataka,BAGALKOT,2008,Kharif     ,Soyabean,2281,2314
Karnataka,BAGALKOT,2008,Rabi       ,Dry chillies,435,737
Karnataka,BAGALKOT,2008,Rabi       ,Groundnut,16605,16611
Karnataka,BAGALKOT,2008,Rabi       ,Jowar,134783,162768
Karnataka,BAGALKOT,2008,Rabi       ,Onion,2526,22773
Karnataka,BAGALKOT,2008,Rabi       ,Wheat,25668,37486
Karnataka,BAGALKOT,2008,Summer     ,Dry chillies,119,390
Karnataka,BAGALKOT,2008,Summer     ,Onion,651,4053
Karnataka,BAGALKOT,2008,Whole Year ,Banana,1424,32850
Karnataka,BAGALKOT,2008,Whole Year ,Coconut ,410,2809
Karnataka,BAGALKOT,2008,Whole Year ,Coriander,83,45
Karnataka,BAGALKOT,2008,Whole Year ,Garlic,30,61
Karnataka,BAGALKOT,2008,Whole Year ,Sugarcane,56598,5860723
Karnataka,BAGALKOT,2008,Whole Year ,Turmeric,1994,13402
Karnataka,BAGALKOT,2009,Kharif     ,Bajra,43613,17323
Karnataka,BAGALKOT,2009,Kharif     ,Groundnut,6090,1789
Karnataka,BAGALKOT,2009,Kharif     ,Jowar,5189,3769
Karnataka,BAGALKOT,2009,Kharif     ,Onion,17697,49445
Karnataka,BAGALKOT,2009,Kharif     ,Rice,133,381.58
Karnataka,BAGALKOT,2009,Kharif     ,Soyabean,3524,2035
Karnataka,BAGALKOT,2009,Rabi       ,Dry chillies,613,669
Karnataka,BAGALKOT,2009,Rabi       ,Groundnut,17718,20266
Karnataka,BAGALKOT,2009,Rabi       ,Jowar,110368,117488
Karnataka,BAGALKOT,2009,Rabi       ,Onion,2083,14319
Karnataka,BAGALKOT,2009,Rabi       ,Wheat,26356,36213
Karnataka,BAGALKOT,2009,Summer     ,Dry chillies,125,576
Karnataka,BAGALKOT,2009,Summer     ,Onion,540,4485
Karnataka,BAGALKOT,2009,Whole Year ,Banana,1575,17048
Karnataka,BAGALKOT,2009,Whole Year ,Coconut ,614,4366
Karnataka,BAGALKOT,2009,Whole Year ,Coriander,240,118
Karnataka,BAGALKOT,2009,Whole Year ,Garlic,25,32
Karnataka,BAGALKOT,2009,Whole Year ,Sugarcane,63833,6549266
Karnataka,BAGALKOT,2009,Whole Year ,Turmeric,3231,24717
Karnataka,BAGALKOT,2010,Kharif     ,Bajra,34045,49726
Karnataka,BAGALKOT,2010,Kharif     ,Dry chillies,1492,634
Karnataka,BAGALKOT,2010,Kharif     ,Groundnut,3633,2564
Karnataka,BAGALKOT,2010,Kharif     ,Jowar,3707,10608
Karnataka,BAGALKOT,2010,Kharif     ,Onion,17139,141312
Karnataka,BAGALKOT,2010,Kharif     ,Rice,121,388
Karnataka,BAGALKOT,2010,Kharif     ,Soyabean,3696,3181
Karnataka,BAGALKOT,2010,Rabi       ,Dry chillies,642,745
Karnataka,BAGALKOT,2010,Rabi       ,Groundnut,17639,25136
Karnataka,BAGALKOT,2010,Rabi       ,Jowar,102139,116792
Karnataka,BAGALKOT,2010,Rabi       ,Onion,2244,14257
Karnataka,BAGALKOT,2010,Rabi       ,Wheat,24693,40235
Karnataka,BAGALKOT,2010,Summer     ,Dry chillies,119,362
Karnataka,BAGALKOT,2010,Summer     ,Onion,709,10377
Karnataka,BAGALKOT,2010,Summer     ,Rice,23,74
Karnataka,BAGALKOT,2010,Whole Year ,Banana,1518,16956
Karnataka,BAGALKOT,2010,Whole Year ,Coconut ,664,6347
Karnataka,BAGALKOT,2010,Whole Year ,Coriander,229,85
Karnataka,BAGALKOT,2010,Whole Year ,Garlic,16,21
Karnataka,BAGALKOT,2010,Whole Year ,Sugarcane,79930,7897084
Karnataka,BAGALKOT,2010,Whole Year ,Turmeric,2150,13177
Karnataka,BAGALKOT,2011,Kharif     ,Bajra,33222,42396
Karnataka,BAGALKOT,2011,Kharif     ,Dry chillies,2135,3095
Karnataka,BAGALKOT,2011,Kharif     ,Groundnut,3782,1945
Karnataka,BAGALKOT,2011,Kharif     ,Jowar,6439,14927
Karnataka,BAGALKOT,2011,Kharif     ,Onion,18304,141893
Karnataka,BAGALKOT,2011,Kharif     ,Rice,79,254
Karnataka,BAGALKOT,2011,Kharif     ,Soyabean,3026,2636
Karnataka,BAGALKOT,2011,Rabi       ,Dry chillies,605,587
Karnataka,BAGALKOT,2011,Rabi       ,Groundnut,22893,25946
Karnataka,BAGALKOT,2011,Rabi       ,Jowar,104924,96699
Karnataka,BAGALKOT,2011,Rabi       ,Onion,1561,17276
Karnataka,BAGALKOT,2011,Rabi       ,Wheat,25676,41483
Karnataka,BAGALKOT,2011,Summer     ,Dry chillies,127,445
Karnataka,BAGALKOT,2011,Summer     ,Jowar,28,51
Karnataka,BAGALKOT,2011,Summer     ,Onion,362,4721
Karnataka,BAGALKOT,2011,Summer     ,Rice,6,20
Karnataka,BAGALKOT,2011,Whole Year ,Banana,1135,14772
Karnataka,BAGALKOT,2011,Whole Year ,Coconut ,695,6909
Karnataka,BAGALKOT,2011,Whole Year ,Coriander,164,67
Karnataka,BAGALKOT,2011,Whole Year ,Garlic,13,16
Karnataka,BAGALKOT,2011,Whole Year ,Sugarcane,89361,8064830
Karnataka,BAGALKOT,2011,Whole Year ,Turmeric,3225,22475
Karnataka,BAGALKOT,2012,Kharif     ,Bajra,19091,18227
Karnataka,BAGALKOT,2012,Kharif     ,Dry chillies,1387,4923
Karnataka,BAGALKOT,2012,Kharif     ,Groundnut,1306,721
Karnataka,BAGALKOT,2012,Kharif     ,Jowar,1708,3141
Karnataka,BAGALKOT,2012,Kharif     ,Onion,7720,69292
Karnataka,BAGALKOT,2012,Kharif     ,Rice,49,125
Karnataka,BAGALKOT,2012,Kharif     ,Soyabean,285,224
Karnataka,BAGALKOT,2012,Rabi       ,Dry chillies,610,1075
Karnataka,BAGALKOT,2012,Rabi       ,Jowar,118324,151076
Karnataka,BAGALKOT,2012,Rabi       ,Onion,1094,8916
Karnataka,BAGALKOT,2012,Rabi       ,Wheat,20920,18662
Karnataka,BAGALKOT,2012,Summer     ,Dry chillies,61,172
Karnataka,BAGALKOT,2012,Summer     ,Groundnut,26362,27749
Karnataka,BAGALKOT,2012,Summer     ,Onion,365,2841
Karnataka,BAGALKOT,2012,Whole Year ,Coconut ,664,6537
Karnataka,BAGALKOT,2012,Whole Year ,Coriander,145,57
Karnataka,BAGALKOT,2012,Whole Year ,Garlic,10,13
Karnataka,BAGALKOT,2012,Whole Year ,Sugarcane,91361,7984951
Karnataka,BAGALKOT,2012,Whole Year ,Turmeric,1797,9159
Karnataka,BAGALKOT,2013,Kharif     ,Bajra,26519,24211
Karnataka,BAGALKOT,2013,Kharif     ,Dry chillies,1227,5383
Karnataka,BAGALKOT,2013,Kharif     ,Groundnut,2082,1454
Karnataka,BAGALKOT,2013,Kharif     ,Jowar,2708,4757
Karnataka,BAGALKOT,2013,Kharif     ,Onion,10683,96861
Karnataka,BAGALKOT,2013,Kharif     ,Rice,54,160
Karnataka,BAGALKOT,2013,Kharif     ,Soyabean,3011,3613
Karnataka,BAGALKOT,2013,Rabi       ,Dry chillies,622,1074
Karnataka,BAGALKOT,2013,Rabi       ,Jowar,113387,109980
Karnataka,BAGALKOT,2013,Rabi       ,Onion,972,9730
Karnataka,BAGALKOT,2013,Rabi       ,Wheat,17901,20713
Karnataka,BAGALKOT,2013,Summer     ,Dry chillies,110,292
Karnataka,BAGALKOT,2013,Summer     ,Groundnut,26190,26747
Karnataka,BAGALKOT,2013,Summer     ,Onion,328,3276
Karnataka,BAGALKOT,2013,Whole Year ,Coconut ,776,6157
Karnataka,BAGALKOT,2013,Whole Year ,Coriander,94,27
Karnataka,BAGALKOT,2013,Whole Year ,Sugarcane,86942,9002844
Karnataka,BAGALKOT,2013,Whole Year ,Turmeric,1703,9670
Karnataka,BAGALKOT,2014,Kharif     ,Bajra,22021,24288
Karnataka,BAGALKOT,2014,Kharif     ,Dry chillies,977,1788
Karnataka,BAGALKOT,2014,Kharif     ,Groundnut,1406,1344
Karnataka,BAGALKOT,2014,Kharif     ,Jowar,965,1492
Karnataka,BAGALKOT,2014,Kharif     ,Onion,10969,82750
Karnataka,BAGALKOT,2014,Kharif     ,Rice,25,76
Karnataka,BAGALKOT,2014,Kharif     ,Soyabean,2505,2401
Karnataka,BAGALKOT,2014,Rabi       ,Dry chillies,669,2021
Karnataka,BAGALKOT,2014,Rabi       ,Jowar,104822,102867
Karnataka,BAGALKOT,2014,Rabi       ,Onion,1237,10051
Karnataka,BAGALKOT,2014,Rabi       ,Wheat,23237,36071
Karnataka,BAGALKOT,2014,Summer     ,Dry chillies,84,162
Karnataka,BAGALKOT,2014,Summer     ,Groundnut,25540,26398
Karnataka,BAGALKOT,2014,Summer     ,Onion,313,2880
Karnataka,BAGALKOT,2014,Whole Year ,Coconut ,743,6630
Karnataka,BAGALKOT,2014,Whole Year ,Coriander,125,42
Karnataka,BAGALKOT,2014,Whole Year ,Dry ginger,134,3892
Karnataka,BAGALKOT,2014,Whole Year ,Sugarcane,93679,10234431
Karnataka,BAGALKOT,2014,Whole Year ,Turmeric,2164,15005
Karnataka,BANGALORE RURAL,1997,Kharif     ,Paddy,11240,39367
Karnataka,BANGALORE RURAL,1997,Kharif     ,Rice,11240,26256
Karnataka,BANGALORE RURAL,1997,Rabi       ,Paddy,195,632
Karnataka,BANGALORE RURAL,1997,Rabi       ,Rice,195,422
Karnataka,BANGALORE RURAL,1997,Summer     ,Paddy,4350,18588
Karnataka,BANGALORE RURAL,1997,Summer     ,Rice,4350,12398
Karnataka,BANGALORE RURAL,1998,Kharif     ,Dry ginger,34,397
Karnataka,BANGALORE RURAL,1998,Kharif     ,Groundnut,23543,24490
Karnataka,BANGALORE RURAL,1998,Kharif     ,Onion,71,322
Karnataka,BANGALORE RURAL,1998,Kharif     ,Potato,835,9203
Karnataka,BANGALORE RURAL,1998,Kharif     ,Ragi,145038,242901
Karnataka,BANGALORE RURAL,1998,Kharif     ,Rice,14305,39567
Karnataka,BANGALORE RURAL,1998,Kharif     ,Soyabean,49,53
Karnataka,BANGALORE RURAL,1998,Rabi       ,Groundnut,1113,1319
Karnataka,BANGALORE RURAL,1998,Rabi       ,Potato,212,4672
Karnataka,BANGALORE RURAL,1998,Rabi       ,Ragi,216,314
Karnataka,BANGALORE RURAL,1998,Summer     ,Onion,150,1861
Karnataka,BANGALORE RURAL,1998,Summer     ,Potato,629,10664
Karnataka,BANGALORE RURAL,1998,Summer     ,Ragi,1754,3946
Karnataka,BANGALORE RURAL,1998,Summer     ,Rice,6662,21506
Karnataka,BANGALORE RURAL,1998,Whole Year ,Coconut ,14114,67405
Karnataka,BANGALORE RURAL,1998,Whole Year ,Coriander,129,14
Karnataka,BANGALORE RURAL,1998,Whole Year ,Dry chillies,1652,627
Karnataka,BANGALORE RURAL,1998,Whole Year ,Garlic,29,33
Karnataka,BANGALORE RURAL,1998,Whole Year ,Turmeric,55,197
Karnataka,BANGALORE RURAL,1999,Kharif     ,Dry ginger,32,374
Karnataka,BANGALORE RURAL,1999,Kharif     ,Groundnut,18643,14273
Karnataka,BANGALORE RURAL,1999,Kharif     ,Ragi,147095,302839
Karnataka,BANGALORE RURAL,1999,Kharif     ,Rice,11541,32410
Karnataka,BANGALORE RURAL,1999,Kharif     ,Soyabean,19,17
Karnataka,BANGALORE RURAL,1999,Rabi       ,Groundnut,488,536
Karnataka,BANGALORE RURAL,1999,Rabi       ,Ragi,432,560
Karnataka,BANGALORE RURAL,1999,Rabi       ,Rice,812,1729
Karnataka,BANGALORE RURAL,1999,Rabi       ,Wheat,4,5
Karnataka,BANGALORE RURAL,1999,Summer     ,Ragi,2431,4859
Karnataka,BANGALORE RURAL,1999,Summer     ,Rice,7949,21764
Karnataka,BANGALORE RURAL,1999,Whole Year ,Banana,2467,46158
Karnataka,BANGALORE RURAL,1999,Whole Year ,Coconut ,14705,70228
Karnataka,BANGALORE RURAL,1999,Whole Year ,Coriander,143,15
Karnataka,BANGALORE RURAL,1999,Whole Year ,Dry chillies,641,655
Karnataka,BANGALORE RURAL,1999,Whole Year ,Garlic,19,21
Karnataka,BANGALORE RURAL,1999,Whole Year ,Onion,51,399
Karnataka,BANGALORE RURAL,1999,Whole Year ,Potato,691,14644
Karnataka,BANGALORE RURAL,1999,Whole Year ,Sugarcane,1484,149439
Karnataka,BANGALORE RURAL,1999,Whole Year ,Turmeric,51,212
Karnataka,BANGALORE RURAL,2000,Kharif     ,Dry ginger,37,432
Karnataka,BANGALORE RURAL,2000,Kharif     ,Groundnut,17892,16596
Karnataka,BANGALORE RURAL,2000,Kharif     ,Ragi,145995,301161
Karnataka,BANGALORE RURAL,2000,Kharif     ,Rice,14828,37089
Karnataka,BANGALORE RURAL,2000,Kharif     ,Soyabean,14,15
Karnataka,BANGALORE RURAL,2000,Rabi       ,Groundnut,1039,1055
Karnataka,BANGALORE RURAL,2000,Rabi       ,Ragi,282,438
Karnataka,BANGALORE RURAL,2000,Rabi       ,Rice,715,1532
Karnataka,BANGALORE RURAL,2000,Summer     ,Ragi,1469,2853
Karnataka,BANGALORE RURAL,2000,Summer     ,Rice,6887,18490
Karnataka,BANGALORE RURAL,2000,Whole Year ,Banana,2320,31503
Karnataka,BANGALORE RURAL,2000,Whole Year ,Coconut ,15076,71999
Karnataka,BANGALORE RURAL,2000,Whole Year ,Coriander,133,14
Karnataka,BANGALORE RURAL,2000,Whole Year ,Dry chillies,741,597
Karnataka,BANGALORE RURAL,2000,Whole Year ,Garlic,3,3
Karnataka,BANGALORE RURAL,2000,Whole Year ,Onion,50,288
Karnataka,BANGALORE RURAL,2000,Whole Year ,Potato,1870,29280
Karnataka,BANGALORE RURAL,2000,Whole Year ,Sugarcane,1548,158825
Karnataka,BANGALORE RURAL,2000,Whole Year ,Turmeric,151,678
Karnataka,BANGALORE RURAL,2001,Kharif     ,Dry ginger,59,689
Karnataka,BANGALORE RURAL,2001,Kharif     ,Groundnut,12305,14116
Karnataka,BANGALORE RURAL,2001,Kharif     ,Ragi,146131,283423
Karnataka,BANGALORE RURAL,2001,Kharif     ,Rice,11067,28322
Karnataka,BANGALORE RURAL,2001,Rabi       ,Ragi,168,230
Karnataka,BANGALORE RURAL,2001,Rabi       ,Rice,169,324
Karnataka,BANGALORE RURAL,2001,Summer     ,Ragi,645,1137
Karnataka,BANGALORE RURAL,2001,Summer     ,Rice,3073,7891
Karnataka,BANGALORE RURAL,2001,Whole Year ,Coconut ,21948,78614
Karnataka,BANGALORE RURAL,2001,Whole Year ,Coriander,7,1
Karnataka,BANGALORE RURAL,2001,Whole Year ,Dry chillies,1578,1226
Karnataka,BANGALORE RURAL,2001,Whole Year ,Onion,50,463
Karnataka,BANGALORE RURAL,2001,Whole Year ,Potato,1636,27066
Karnataka,BANGALORE RURAL,2001,Whole Year ,Sugarcane,1608,129846
Karnataka,BANGALORE RURAL,2001,Whole Year ,Turmeric,38,203
Karnataka,BANGALORE RURAL,2002,Kharif     ,Dry ginger,30,350
Karnataka,BANGALORE RURAL,2002,Kharif     ,Groundnut,10732,10261
